coachid,award,year,lgid,note
cherrdo01c,Джек Адамс,1975,NHL,
weilaco01c,Первая команда всех звезд,1940,NHL,
irvindi01c,Вторая команда всех звезд,1933,NHL,
irvindi01c,Вторая команда всех звезд,1931,NHL,
tippeda01c,Джек Адамс,2009,NHL,
ruffli01c,Джек Адамс,2005,NHL,
krommbo01c,Шмерц,1975,WHA,
keenami01c,Джек Адамс,1984,NHL,
irvindi01c,Вторая команда всех звезд,1940,NHL,
rossar01c,Вторая команда всех звезд,1937,NHL,
adamsja01c,Первая команда всех звезд,1942,NHL,
patrile01c,Первая команда всех звезд,1937,NHL,
lemaija01c,Джек Адамс,1993,NHL,
huculsa01c,Шмерц,1974,WHA,
dineebi01c,Шмерц,1976,WHA,
demerja01c,Джек Адамс,1987,NHL,
murdobo01c,Джек Адамс,1989,NHL,
tortojo01c,Джек Адамс,2003,NHL,
demerja01c,Джек Адамс,1986,NHL,
patrile01c,Первая команда всех звезд,1935,NHL,
patrile01c,Первая команда всех звезд,1930,NHL,
harribi01c,Болдуин,1973,WHA,
adamsja01c,Первая команда всех звезд,1936,NHL,
burnspa01c,Джек Адамс,1992,NHL,
quinnpa01c,Джек Адамс,1979,NHL,
lemaija01c,Джек Адамс,2002,NHL,
thomppa01c,Первая команда всех звезд,1939,NHL,
bouchfr01c,Вторая команда всех звезд,1939,NHL,
martija02c,Джек Адамс,1998,NHL,
brophjo01c,Шмерц,1978,WHA,
thomppa01c,Вторая команда всех звезд,1941,NHL,
rossar01c,Первая команда всех звезд,1938,NHL,
bowmasc01c,Джек Адамс,1995,NHL,
adamsja01c,Вторая команда всех звезд,1944,NHL,
hitchke01c,Джек Адамс,2011,NHL,
gottsjo01c,Вторая команда всех звезд,1945,NHL,
burnspa01c,Джек Адамс,1988,NHL,
krommbo01c,Джек Адамс,1977,NHL,
kelleja01c,Болдуин,1972,WHA,
tessior01c,Джек Адамс,1982,NHL,
quennjo01c,Джек Адамс,1999,NHL,
patrile01c,Первая команда всех звезд,1933,NHL,
patrile01c,Первая команда всех звезд,1930,NHL,
irvindi01c,Вторая команда всех звезд,1930,NHL,
patrile01c,Первая команда всех звезд,1931,NHL,
irvindi01c,Вторая команда всех звезд,1931,NHL,
patrile01c,Первая команда всех звезд,1932,NHL,
irvindi01c,Вторая команда всех звезд,1932,NHL,
patrile01c,Первая команда всех звезд,1933,NHL,
irvindi01c,Вторая команда всех звезд,1933,NHL,
patrile01c,Первая команда всех звезд,1934,NHL,
irvindi01c,Вторая команда всех звезд,1934,NHL,
patrile01c,Первая команда всех звезд,1935,NHL,
gormato01c,Вторая команда всех звезд,1935,NHL,
adamsja01c,Первая команда всех звезд,1936,NHL,
hartce01c,Вторая команда всех звезд,1936,NHL,
patrile01c,Первая команда всех звезд,1937,NHL,
rossar01c,Вторая команда всех звезд,1937,NHL,
rossar01c,Первая команда всех звезд,1938,NHL,
duttore01c,Вторая команда всех звезд,1938,NHL,
thomppa01c,Первая команда всех звезд,1939,NHL,
bouchfr01c,Вторая команда всех звезд,1939,NHL,
weilaco01c,Первая команда всех звезд,1940,NHL,
irvindi01c,Вторая команда всех звезд,1940,NHL,
bouchfr01c,Первая команда всех звезд,1941,NHL,
thomppa01c,Вторая команда всех звезд,1941,NHL,
adamsja01c,Первая команда всех звезд,1942,NHL,
rossar01c,Вторая команда всех звезд,1942,NHL,
irvindi01c,Первая команда всех звезд,1943,NHL,
dayha01c,Вторая команда всех звезд,1943,NHL,
irvindi01c,Первая команда всех звезд,1944,NHL,
adamsja01c,Вторая команда всех звезд,1944,NHL,
irvindi01c,Первая команда всех звезд,1945,NHL,
gottsjo01c,Вторая команда всех звезд,1945,NHL,
sherofr01c,Джек Адамс,1973,NHL,
pulfobo01c,Джек Адамс,1974,NHL,
cherrdo01c,Джек Адамс,1975,NHL,
bowmasc01c,Джек Адамс,1976,NHL,
krommbo01c,Джек Адамс,1977,NHL,
arboual01c,Джек Адамс,1978,NHL,
quinnpa01c,Джек Адамс,1979,NHL,
berenre01c,Джек Адамс,1980,NHL,
wattto01c,Джек Адамс,1981,NHL,
tessior01c,Джек Адамс,1982,NHL,
murrabr01c,Джек Адамс,1983,NHL,
keenami01c,Джек Адамс,1984,NHL,
sathegl01c,Джек Адамс,1985,NHL,
demerja01c,Джек Адамс,1986,NHL,
demerja01c,Джек Адамс,1987,NHL,
burnspa01c,Джек Адамс,1988,NHL,
murdobo01c,Джек Адамс,1989,NHL,
suttebr01c,Джек Адамс,1990,NHL,
quinnpa01c,Джек Адамс,1991,NHL,
burnspa01c,Джек Адамс,1992,NHL,
lemaija01c,Джек Адамс,1993,NHL,
crawfma01c,Джек Адамс,1994,NHL,
bowmasc01c,Джек Адамс,1995,NHL,
nolante01c,Джек Адамс,1996,NHL,
